Country,date,n.first_dose,n.second_dose,first_dose,second_dose,n.first_dose_perc,n.second_dose_perc,first_dose_perc,second_dose_perc,age_group,Poblacion
Italy,2020-12-27,7324,0,7324,0,0.000123596031602108,0,0.000123596031602108,0,Total,59257566
Italy,2020-12-28,1500,0,8621,0,2.53132232937141e-05,0,0.000145483532010073,0,Total,59257566
Italy,2020-12-29,1093,0,9917,0,1.84449020400197e-05,0,0.000167354156935842,0,Total,59257566
Italy,2020-12-30,4850,0,14767,0,8.18460886496755e-05,0,0.000249200245585517,0,Total,59257566
Italy,2020-12-31,25858,0,40625,0,0.000436366218619239,0,0.000685566464204757,0,Total,59257566
Italy,2021-01-01,11248,0,51873,0,0.000189815423738464,0,0.000875381887943221,0,Total,59257566
Italy,2021-01-02,38948,0,90821,0,0.000657266280562384,0,0.0015326481685056,0,Total,59257566
Italy,2021-01-03,35796,0,126567,0,0.000604074760681193,0,0.00213587915507701,0,Total,59257566
Italy,2021-01-04,69400,0,196017,0,0.00117115846438917,0,0.00330788139357597,0,Total,59257566
Italy,2021-01-05,80014,0,276031,0,0.00135027483241549,0,0.00465815622599146,0,Total,59257566
Italy,2021-01-06,64999,0,341030,0,0.00109688946724541,0,0.00575504569323688,0,Total,59257566
Italy,2021-01-07,92342,0,433372,0,0.00155831577692543,0,0.00731336147016231,0,Total,59257566
Italy,2021-01-08,96589,0,529961,0,0.00162998594981103,0,0.00894334741997334,0,Total,59257566
Italy,2021-01-09,87976,0,617937,0,0.00148463742165853,0,0.0104279848416319,0,Total,59257566
Italy,2021-01-10,60697,0,678634,0,0.00102429114283904,0,0.0114522759844709,0,Total,59257566
Italy,2021-01-11,81801,0,760435,0,0.0013804313190994,0,0.0128327073035703,0,Total,59257566
Italy,2021-01-12,83165,0,843600,0,0.00140344947681449,0,0.0142361567803848,0,Total,59257566
Italy,2021-01-13,94978,0,938578,0,0.00160279954799358,0,0.0158389563283784,0,Total,59257566
Italy,2021-01-14,93787,0,1032365,0,0.00158270084869838,0,0.0174216571770768,0,Total,59257566
Italy,2021-01-15,90510,0,1122875,0,0.00152739989354271,0,0.0189490570706195,0,Total,59257566
Italy,2021-01-16,65769,0,1188644,0,0.00110988358853619,0,0.0200589406591557,0,Total,59257566
Italy,2021-01-17,34526,2989,1223170,2989,0.000582642898292515,5.04408162832743e-05,0.0206415835574482,5.04408162832743e-05,Total,59257566
Italy,2021-01-18,39414,5089,1262584,8078,0.000665130255265631,8.5879328894474e-05,0.0213067138127138,0.000136320145177748,Total,59257566
Italy,2021-01-19,31668,1783,1294252,9861,0.000534412770176892,3.00889847551281e-05,0.0218411265828907,0.000166409129932876,Total,59257566
Italy,2021-01-20,26813,4599,1321065,14460,0.000452482304116237,7.76103426185274e-05,0.0222936088870069,0.000244019472551404,Total,59257566
Italy,2021-01-21,16489,19932,1337554,34392,0.000278259825926701,0.000336362111126873,0.0225718687129336,0.000580381583678277,Total,59257566
Italy,2021-01-22,13124,14133,1350678,48525,0.000221473828337802,0.000238501189873374,0.0227933425412714,0.000818882773551651,Total,59257566
Italy,2021-01-23,6012,33303,1356690,81828,0.000101455398961206,0.00056200418356704,0.0228947979402326,0.00138088695711869,Total,59257566
Italy,2021-01-24,3232,30775,1359922,112603,5.4541558456856e-05,0.000519342964576034,0.0229493394986895,0.00190022992169473,Total,59257566
