"","Countries.and.territories","DateRep","Deaths","Cases"
"245","Spain","01/09/2020",68,10458
"246","Spain","02/09/2020",79,10711
"247","Spain","03/09/2020",80,10955
"248","Spain","04/09/2020",80,13184
"249","Spain","05/09/2020",68,7883
"250","Spain","06/09/2020",61,5491
"251","Spain","07/09/2020",80,7027
"252","Spain","08/09/2020",84,11955
"253","Spain","09/09/2020",95,12790
"254","Spain","10/09/2020",96,12989
"255","Spain","11/09/2020",96,14413
"256","Spain","12/09/2020",102,8312
"257","Spain","13/09/2020",106,6418
"258","Spain","14/09/2020",109,8197
"259","Spain","15/09/2020",137,13814
"260","Spain","16/09/2020",109,14027
"261","Spain","17/09/2020",124,13779
"262","Spain","18/09/2020",115,16744
"263","Spain","19/09/2020",123,8346
"264","Spain","20/09/2020",103,5867
"265","Spain","21/09/2020",123,8030
"266","Spain","22/09/2020",127,12799
"267","Spain","23/09/2020",111,12744
"268","Spain","24/09/2020",133,12667
"269","Spain","25/09/2020",131,13547
"270","Spain","26/09/2020",116,7662
"271","Spain","27/09/2020",120,5064
"272","Spain","28/09/2020",141,7078
"273","Spain","29/09/2020",147,11343
"274","Spain","30/09/2020",153,11207
"275","Spain","01/10/2020",135,11059
"276","Spain","02/10/2020",132,12371
"277","Spain","03/10/2020",106,6882
"278","Spain","04/10/2020",96,5125
"279","Spain","05/10/2020",127,8873
"280","Spain","06/10/2020",132,12233
"281","Spain","07/10/2020",132,12405
"282","Spain","08/10/2020",134,13859
"283","Spain","09/10/2020",150,14798
"284","Spain","10/10/2020",137,8732
"285","Spain","11/10/2020",113,6768
"286","Spain","12/10/2020",128,6331
"287","Spain","13/10/2020",148,12378
"288","Spain","14/10/2020",141,16397
"289","Spain","15/10/2020",148,17519
"290","Spain","16/10/2020",150,18315
"291","Spain","17/10/2020",132,11969
"292","Spain","18/10/2020",152,8268
"293","Spain","19/10/2020",175,15714
"294","Spain","20/10/2020",188,20939
"295","Spain","21/10/2020",176,23259
"296","Spain","22/10/2020",209,23869
"297","Spain","23/10/2020",216,25075
"298","Spain","24/10/2020",192,15492
"299","Spain","25/10/2020",195,11296
"300","Spain","26/10/2020",218,20026
"301","Spain","27/10/2020",242,24387
"302","Spain","28/10/2020",247,24669
"303","Spain","29/10/2020",254,24244
"304","Spain","30/10/2020",263,25005
"305","Spain","31/10/2020",269,16119
"306","Spain","01/11/2020",268,10969
"307","Spain","02/11/2020",304,15505
"308","Spain","03/11/2020",325,22032
"309","Spain","04/11/2020",356,24132
"310","Spain","05/11/2020",331,23571
"311","Spain","06/11/2020",355,23517
"312","Spain","07/11/2020",287,14580
"313","Spain","08/11/2020",319,9857
"314","Spain","09/11/2020",320,16533
