"","X","date","age_group","n.first_dose","n.second_dose","first_dose","second_dose","Poblacion","n.first_dose_perc","n.second_dose_perc","first_dose_perc","second_dose_perc","Country"
"1",1,"2021-01-05","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"2",2,"2021-01-05","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"3",3,"2021-01-05","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"4",4,"2021-01-05","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"5",5,"2021-01-05","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"6",6,"2021-01-05","Total",0,0,0,0,41965591,0,0,0,0,"Spain"
"7",7,"2021-01-06","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"8",8,"2021-01-06","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"9",9,"2021-01-06","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"10",10,"2021-01-06","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"11",11,"2021-01-06","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"12",12,"2021-01-06","Total",0,0,0,0,41965591,0,0,0,0,"Spain"
"13",13,"2021-01-07","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"14",14,"2021-01-07","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"15",15,"2021-01-07","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"16",16,"2021-01-07","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"17",17,"2021-01-07","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"18",18,"2021-01-07","Total",0,0,0,0,41965591,0,0,0,0,"Spain"
"19",19,"2021-01-08","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"20",20,"2021-01-08","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"21",21,"2021-01-08","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"22",22,"2021-01-08","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"23",23,"2021-01-08","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"24",24,"2021-01-08","Total",0,0,0,0,41965591,0,0,0,0,"Spain"
"25",25,"2021-01-09","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"26",26,"2021-01-09","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"27",27,"2021-01-09","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"28",28,"2021-01-09","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"29",29,"2021-01-09","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"30",30,"2021-01-09","Total",0,0,0,0,41965591,0,0,0,0,"Spain"
"31",31,"2021-01-10","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"32",32,"2021-01-10","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"33",33,"2021-01-10","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"34",34,"2021-01-10","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"35",35,"2021-01-10","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"36",36,"2021-01-10","Total",0,0,0,0,41965591,0,0,0,0,"Spain"
"37",37,"2021-01-11","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"38",38,"2021-01-11","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"39",39,"2021-01-11","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"40",40,"2021-01-11","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"41",41,"2021-01-11","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"42",42,"2021-01-11","Total",0,0,0,0,41965591,0,0,0,0,"Spain"
"43",43,"2021-01-12","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"44",44,"2021-01-12","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"45",45,"2021-01-12","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"46",46,"2021-01-12","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"47",47,"2021-01-12","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"48",48,"2021-01-12","Total",0,0,0,0,41965591,0,0,0,0,"Spain"
"49",49,"2021-01-13","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"50",50,"2021-01-13","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"51",51,"2021-01-13","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"52",52,"2021-01-13","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"53",53,"2021-01-13","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"54",54,"2021-01-13","Total",0,0,0,0,41965591,0,0,0,0,"Spain"
"55",55,"2021-01-14","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"56",56,"2021-01-14","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"57",57,"2021-01-14","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"58",58,"2021-01-14","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"59",59,"2021-01-14","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"60",60,"2021-01-14","Total",0,0,0,0,41965591,0,0,0,0,"Spain"
"61",61,"2021-01-15","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"62",62,"2021-01-15","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"63",63,"2021-01-15","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"64",64,"2021-01-15","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"65",65,"2021-01-15","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"66",66,"2021-01-15","Total",0,0,0,0,41965591,0,0,0,0,"Spain"
"67",67,"2021-01-16","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"68",68,"2021-01-16","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"69",69,"2021-01-16","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"70",70,"2021-01-16","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"71",71,"2021-01-16","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"72",72,"2021-01-16","Total",0,0,0,0,41965591,0,0,0,0,"Spain"
"73",73,"2021-01-17","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"74",74,"2021-01-17","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"75",75,"2021-01-17","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"76",76,"2021-01-17","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"77",77,"2021-01-17","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"78",78,"2021-01-17","Total",0,0,0,0,41965591,0,0,0,0,"Spain"
"79",79,"2021-01-18","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"80",80,"2021-01-18","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"81",81,"2021-01-18","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"82",82,"2021-01-18","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"83",83,"2021-01-18","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"84",84,"2021-01-18","Total",0,0,0,2315,41965591,0,0,0,5.51642415806798e-05,"Spain"
"85",85,"2021-01-19","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"86",86,"2021-01-19","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"87",87,"2021-01-19","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"88",88,"2021-01-19","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"89",89,"2021-01-19","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"90",90,"2021-01-19","Total",0,7026,0,9341,41965591,0,0.000167422877471212,0,0.000222587119051892,"Spain"
"91",91,"2021-01-20","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"92",92,"2021-01-20","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"93",93,"2021-01-20","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"94",94,"2021-01-20","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"95",95,"2021-01-20","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"96",96,"2021-01-20","Total",0,6301,0,15642,41965591,0,0.000150146819092813,0,0.000372733938144705,"Spain"
"97",97,"2021-01-21","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"98",98,"2021-01-21","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"99",99,"2021-01-21","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"100",100,"2021-01-21","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"101",101,"2021-01-21","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"102",102,"2021-01-21","Total",0,33414,0,49056,41965591,0,0.000796223744352844,0,0.00116895768249755,"Spain"
"103",103,"2021-01-22","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"104",104,"2021-01-22","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"105",105,"2021-01-22","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"106",106,"2021-01-22","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"107",107,"2021-01-22","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"108",108,"2021-01-22","Total",0,19400,0,68456,41965591,0,0.000462283493159908,0,0.00163124117565746,"Spain"
"109",109,"2021-01-23","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"110",110,"2021-01-23","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"111",111,"2021-01-23","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"112",112,"2021-01-23","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"113",113,"2021-01-23","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"114",114,"2021-01-23","Total",0,0,0,68456,41965591,0,0,0,0.00163124117565746,"Spain"
"115",115,"2021-01-24","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"116",116,"2021-01-24","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"117",117,"2021-01-24","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"118",118,"2021-01-24","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"119",119,"2021-01-24","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"120",120,"2021-01-24","Total",0,0,0,68456,41965591,0,0,0,0.00163124117565746,"Spain"
"121",121,"2021-01-25","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"122",122,"2021-01-25","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"123",123,"2021-01-25","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"124",124,"2021-01-25","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"125",125,"2021-01-25","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"126",126,"2021-01-25","Total",0,20242,0,88698,41965591,0,0.00048234754992489,0,0.00211358872558235,"Spain"
"127",127,"2021-01-26","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"128",128,"2021-01-26","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"129",129,"2021-01-26","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"130",130,"2021-01-26","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"131",131,"2021-01-26","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"132",132,"2021-01-26","Total",0,34999,0,123697,41965591,0,0.000833992782324929,0,0.00294758150790728,"Spain"
"133",133,"2021-01-27","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"134",134,"2021-01-27","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"135",135,"2021-01-27","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"136",136,"2021-01-27","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"137",137,"2021-01-27","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"138",138,"2021-01-27","Total",0,49369,0,173066,41965591,0,0.00117641617390781,0,0.00412399768181509,"Spain"
"139",139,"2021-01-28","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"140",140,"2021-01-28","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"141",141,"2021-01-28","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"142",142,"2021-01-28","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"143",143,"2021-01-28","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"144",144,"2021-01-28","Total",0,19693,0,192759,41965591,0,0.000469265403649385,0,0.00459326308546447,"Spain"
"145",145,"2021-01-29","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"146",146,"2021-01-29","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"147",147,"2021-01-29","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"148",148,"2021-01-29","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
